id;timestamp;eventType;packageName;eventLabel
1;1767374310429;16;android;SCREEN_OFF
2;1767374310968;2;com.google.android.apps.nexuslauncher;APP_CLOSE
3;1767374315488;17;android;LOCK
4;1767374505174;15;android;SCREEN_ON
5;1767374522782;16;android;SCREEN_OFF
6;1767374536134;15;android;SCREEN_ON
7;1767374659684;16;android;SCREEN_OFF
8;1767374679916;15;android;SCREEN_ON
9;1767374689905;16;android;SCREEN_OFF
10;1767374760908;15;android;SCREEN_ON
11;1767374761964;1;com.google.android.apps.nexuslauncher;APP_OPEN
12;1767374762402;18;android;UNLOCK
13;1767374798259;2;com.google.android.apps.nexuslauncher;APP_CLOSE
14;1767374798672;1;com.focux.pulse;APP_OPEN
15;1767374810333;2;com.focux.pulse;APP_CLOSE
16;1767374810352;1;com.google.android.apps.nexuslauncher;APP_OPEN
17;1767374816580;2;com.google.android.apps.nexuslauncher;APP_CLOSE
18;1767374816583;1;com.focux.pulse;APP_OPEN
19;1767374817132;1;com.google.android.apps.nexuslauncher;APP_OPEN
20;1767374817999;2;com.focux.pulse;APP_CLOSE
21;1767374820310;2;com.google.android.apps.nexuslauncher;APP_CLOSE
22;1767374820601;1;com.focux.pulse;APP_OPEN
23;1767374821769;2;com.focux.pulse;APP_CLOSE
24;1767374821773;1;com.android.settings;APP_OPEN
25;1767374821936;2;com.android.settings;APP_CLOSE
26;1767374821937;1;com.android.settings;APP_OPEN
27;1767374834081;2;com.android.settings;APP_CLOSE
28;1767374834081;1;com.focux.pulse;APP_OPEN
29;1767374834952;2;com.focux.pulse;APP_CLOSE
30;1767374834956;1;com.android.settings;APP_OPEN
31;1767374835011;2;com.android.settings;APP_CLOSE
32;1767374835013;1;com.android.settings;APP_OPEN
33;1767374835943;1;com.google.android.apps.nexuslauncher;APP_OPEN
34;1767374836496;2;com.android.settings;APP_CLOSE
35;1767374955918;16;android;SCREEN_OFF
36;1767374956494;2;com.google.android.apps.nexuslauncher;APP_CLOSE
37;1767374960980;17;android;LOCK
38;1767375025027;1;com.android.settings;APP_OPEN
39;1767375025032;2;com.android.settings;APP_CLOSE
40;1767375048902;15;android;SCREEN_ON
41;1767375055392;1;com.android.settings;APP_OPEN
42;1767375055834;18;android;UNLOCK
43;1767375082068;1;com.google.android.apps.nexuslauncher;APP_OPEN
44;1767375082980;2;com.android.settings;APP_CLOSE
45;1767375084527;2;com.google.android.apps.nexuslauncher;APP_CLOSE
46;1767375084814;1;com.focux.pulse;APP_OPEN
47;1767375087589;2;com.focux.pulse;APP_CLOSE
48;1767375087592;1;com.android.settings;APP_OPEN
49;1767375087623;2;com.android.settings;APP_CLOSE
50;1767375087624;1;com.android.settings;APP_OPEN
51;1767375094092;2;com.android.settings;APP_CLOSE
52;1767375094094;1;com.focux.pulse;APP_OPEN
53;1767375094094;1;com.focux.pulse;APP_OPEN
54;1767375101661;1;com.google.android.apps.nexuslauncher;APP_OPEN
55;1767375102540;2;com.focux.pulse;APP_CLOSE
56;1767375103712;2;com.google.android.apps.nexuslauncher;APP_CLOSE
57;1767375104022;1;com.focux.pulse;APP_OPEN
58;1767375107230;1;com.google.android.apps.nexuslauncher;APP_OPEN
59;1767375107765;2;com.focux.pulse;APP_CLOSE
60;1767375108330;16;android;SCREEN_OFF
61;1767375108826;2;com.google.android.apps.nexuslauncher;APP_CLOSE
62;1767375108997;17;android;LOCK
63;1767375229337;15;android;SCREEN_ON
64;1767375230814;1;com.google.android.apps.nexuslauncher;APP_OPEN
65;1767375231240;18;android;UNLOCK
66;1767375234255;2;com.google.android.apps.nexuslauncher;APP_CLOSE
67;1767375234260;1;com.whatsapp;APP_OPEN
68;1767375238901;2;com.whatsapp;APP_CLOSE
69;1767375238903;1;com.whatsapp;APP_OPEN
70;1767375239672;2;com.whatsapp;APP_CLOSE
71;1767375239676;1;com.whatsapp;APP_OPEN
72;1767375246581;2;com.whatsapp;APP_CLOSE
73;1767375246587;1;com.whatsapp;APP_OPEN
74;1767375252134;2;com.whatsapp;APP_CLOSE
75;1767375252135;1;com.whatsapp;APP_OPEN
76;1767375252159;2;com.whatsapp;APP_CLOSE
77;1767375252165;1;com.whatsapp;APP_OPEN
78;1767375253683;2;com.whatsapp;APP_CLOSE
79;1767375253684;1;com.whatsapp;APP_OPEN
80;1767375256635;2;com.whatsapp;APP_CLOSE
81;1767375256640;1;com.whatsapp;APP_OPEN
82;1767375277597;2;com.whatsapp;APP_CLOSE
83;1767375277598;1;com.whatsapp;APP_OPEN
84;1767375281086;2;com.whatsapp;APP_CLOSE
85;1767375281089;1;com.whatsapp;APP_OPEN
86;1767375299811;2;com.whatsapp;APP_CLOSE
87;1767375299813;1;com.whatsapp;APP_OPEN
88;1767375300851;2;com.whatsapp;APP_CLOSE
89;1767375300855;1;com.whatsapp;APP_OPEN
90;1767375361937;2;com.whatsapp;APP_CLOSE
91;1767375361938;1;com.whatsapp;APP_OPEN
92;1767375362667;1;com.google.android.apps.nexuslauncher;APP_OPEN
93;1767375363203;2;com.whatsapp;APP_CLOSE
94;1767375482639;16;android;SCREEN_OFF
95;1767375483217;2;com.google.android.apps.nexuslauncher;APP_CLOSE
96;1767375487696;17;android;LOCK
97;1767375569949;15;android;SCREEN_ON
98;1767375571187;1;com.google.android.apps.nexuslauncher;APP_OPEN
99;1767375571631;18;android;UNLOCK
100;1767375690700;16;android;SCREEN_OFF
101;1767375691232;2;com.google.android.apps.nexuslauncher;APP_CLOSE
102;1767375691408;17;android;LOCK
103;1767375701529;15;android;SCREEN_ON
104;1767375711504;16;android;SCREEN_OFF
105;1767375753301;15;android;SCREEN_ON
106;1767375754936;1;com.google.android.apps.nexuslauncher;APP_OPEN
107;1767375755354;18;android;UNLOCK
108;1767375759464;2;com.google.android.apps.nexuslauncher;APP_CLOSE
109;1767375759471;1;com.whatsapp;APP_OPEN
110;1767375899613;2;com.whatsapp;APP_CLOSE
111;1767375899614;1;com.whatsapp;APP_OPEN
112;1767375902044;2;com.whatsapp;APP_CLOSE
113;1767375902046;1;com.whatsapp;APP_OPEN
114;1767375911217;2;com.whatsapp;APP_CLOSE
115;1767375911219;1;com.whatsapp;APP_OPEN
116;1767375913704;2;com.whatsapp;APP_CLOSE
117;1767375913706;1;com.whatsapp;APP_OPEN
118;1767375929537;2;com.whatsapp;APP_CLOSE
119;1767375929539;1;com.whatsapp;APP_OPEN
120;1767375930789;2;com.whatsapp;APP_CLOSE
121;1767375930793;1;com.whatsapp;APP_OPEN
122;1767375948437;2;com.whatsapp;APP_CLOSE
123;1767375948438;1;com.whatsapp;APP_OPEN
124;1767375951624;2;com.whatsapp;APP_CLOSE
125;1767375951627;1;com.whatsapp;APP_OPEN
126;1767375954173;2;com.whatsapp;APP_CLOSE
127;1767375954174;1;com.whatsapp;APP_OPEN
128;1767375958609;2;com.whatsapp;APP_CLOSE
129;1767375958613;1;com.whatsapp;APP_OPEN
130;1767375966655;2;com.whatsapp;APP_CLOSE
131;1767375966659;1;com.whatsapp;APP_OPEN
132;1767375970398;2;com.whatsapp;APP_CLOSE
133;1767375970399;1;com.whatsapp;APP_OPEN
134;1767376043553;2;com.whatsapp;APP_CLOSE
135;1767376043555;1;com.whatsapp;APP_OPEN
136;1767376046057;2;com.whatsapp;APP_CLOSE
137;1767376046059;1;com.whatsapp;APP_OPEN
138;1767376075918;2;com.whatsapp;APP_CLOSE
139;1767376075919;1;com.whatsapp;APP_OPEN
140;1767376083742;2;com.whatsapp;APP_CLOSE
141;1767376083743;1;com.whatsapp;APP_OPEN
142;1767376097211;2;com.whatsapp;APP_CLOSE
143;1767376097213;1;com.whatsapp;APP_OPEN
144;1767376098706;2;com.whatsapp;APP_CLOSE
145;1767376098709;1;com.whatsapp;APP_OPEN
146;1767376108435;2;com.whatsapp;APP_CLOSE
147;1767376108437;1;com.whatsapp;APP_OPEN
148;1767376110274;2;com.whatsapp;APP_CLOSE
149;1767376110276;1;com.whatsapp;APP_OPEN
150;1767376112016;2;com.whatsapp;APP_CLOSE
151;1767376112019;1;com.whatsapp;APP_OPEN
152;1767376114389;2;com.whatsapp;APP_CLOSE
153;1767376114391;1;com.whatsapp;APP_OPEN
154;1767376119051;2;com.whatsapp;APP_CLOSE
155;1767376119055;1;com.whatsapp;APP_OPEN
156;1767376122113;1;com.google.android.apps.nexuslauncher;APP_OPEN
157;1767376122185;2;com.google.android.apps.nexuslauncher;APP_CLOSE
158;1767376123046;1;com.google.android.apps.nexuslauncher;APP_OPEN
159;1767376123669;2;com.whatsapp;APP_CLOSE
160;1767376123673;1;com.focux.pulse;APP_OPEN
161;1767376123710;2;com.google.android.apps.nexuslauncher;APP_CLOSE
162;1767376123710;2;com.google.android.apps.nexuslauncher;APP_CLOSE
163;1767376153050;1;com.google.android.apps.nexuslauncher;APP_OPEN
164;1767376153128;2;com.google.android.apps.nexuslauncher;APP_CLOSE
165;1767376159621;1;com.google.android.apps.nexuslauncher;APP_OPEN
166;1767376159705;2;com.google.android.apps.nexuslauncher;APP_CLOSE
167;1767376171634;1;com.google.android.apps.nexuslauncher;APP_OPEN
168;1767376171711;2;com.google.android.apps.nexuslauncher;APP_CLOSE
169;1767376172234;1;com.google.android.apps.nexuslauncher;APP_OPEN
170;1767376172330;2;com.google.android.apps.nexuslauncher;APP_CLOSE
